Model,MSE_train,MSE_test
Нормальное уравнение,846.8572220590142,1001.1607843577812
Нормальное уравнение с L2,844.3893370818404,1008.4348688516983
Полином,757.4179071972957,830.3914079888772
LinearRegression из scikit-learn,693.4023118625229,857.5819189444786
Ridge L2 из scikit-learn,693.4029936688299,857.7768837629988
Lasso L1 из scikit-learn,706.5276846494186,857.7768837629988
